# t = -038 ms, neutrino energy spectrum for the wh07.12.40g model
# nu_e                   anti-nu_e              nux
5.439030101599273473e-18 9.480520787937367740e-32 9.471738336083866932e-08
6.484172080508744513e-15 1.492417220243388825e-31 8.006752498927205987e-08
3.585630760627225386e-16 2.285018282577776286e-31 6.148260111364014107e-08
1.318127314136708563e-15 3.420976928324605873e-31 4.641598070891539465e-08
2.492420429875329990e-11 5.002501964118814149e-31 3.711785663127877527e-08
2.466467918430460772e-10 7.134825210241479160e-31 2.872898022699846945e-08
2.070964999140970859e-09 9.822860378687779763e-31 1.994374338903552978e-08
3.757898937296920182e-08 1.306660001779170655e-30 1.232507242549761021e-08
5.368271825994726578e-07 1.679662618253279388e-30 6.774928857285928367e-09
1.194867406658533724e-06 2.080325757499840802e-30 3.221097448384004638e-09
4.807734857903573523e-06 2.464577392740191754e-30 1.298995664217378351e-09
2.583577322398411760e-05 2.745799003990684724e-30 5.095824133773833991e-10
6.852439000819423405e-04 2.899031177294990711e-30 1.635294915229792553e-10
5.133739414894307462e-02 2.886343782908468411e-30 4.269503874803861167e-11
3.675582997598821067e-02 2.695196969484456569e-30 9.196617567482344555e-12
5.415765357916048697e-03 2.293388287896432189e-30 1.534449305865864869e-12
2.299629759385523079e-04 1.776316720446551725e-30 2.040182533532071346e-13
5.264066766366191893e-06 1.252552150530326051e-30 2.279068211278526454e-14
1.189951721251835582e-07 7.971278131007093223e-31 2.090896039695421237e-15
3.027645976071610770e-09 4.491309434390787563e-31 1.419492453640770147e-16
5.677743962100371702e-11 2.129877844103255128e-31 6.329433610632714720e-18
8.390434239431689123e-13 8.688619631983397914e-32 2.955583336217583685e-19
1.043393859635347503e-14 3.007337958334671296e-32 1.662963208394956037e-20
1.085314913882831512e-16 8.700395223662670335e-33 1.062509699980875193e-21
1.161237662343243283e-18 1.946658640757572737e-33 2.467857341777266976e-23
1.462411772620518564e-20 3.341530952059042772e-34 7.260982704065945288e-25
1.471948127746354605e-22 4.413250011992120958e-35 2.280979327328037766e-26
1.271607876186718919e-24 4.386994171046775286e-36 6.100705359121643849e-28
9.120645378465156638e-27 3.138496520452160240e-37 7.916305991811297715e-30
5.308172553340435274e-29 1.424428296823998201e-38 1.269419233015700766e-36
2.098974957622582383e-31 4.388787782894112081e-40 8.682880008710394643e-42
9.845170471533114924e-34 9.377503885907168850e-42 2.642949962606366159e-37
3.560276713704993024e-36 1.460507460538695349e-43 3.473827115094932678e-38
2.960008287910062957e-38 1.825490374319278202e-45 8.048950798355875269e-40
1.691080761262701096e-40 2.683054697803783852e-47 2.973884428121396394e-42
5.021878353595929291e-43 4.296946816333087019e-48 9.174043748471783572e-44
1.049183031142889562e-42 4.144873096512897544e-48 0.000000000000000000e+00
2.149807212658585803e-42 4.143219927792532832e-48 0.000000000000000000e+00
4.353563824710363821e-42 4.136076735449680169e-48 0.000000000000000000e+00
1.610622172061890229e-34 1.086329395508229492e-09 0.000000000000000000e+00
