# t = 018 ms, neutrino energy spectrum for the wh07.15.40g.shen model
# nu_e                   anti-nu_e                nux
3.544968014655976857e-02 2.076032533487813178e-03 3.284041848133537750e-02
5.988640038599313958e-02 3.545515400677642925e-03 4.619559845368306772e-02
9.927681991468506606e-02 5.908976626949440092e-03 6.304688305806568915e-02
1.633685227742329438e-01 9.673007619099428800e-03 8.457244460186821855e-02
2.669140019060759483e-01 1.557953345898682035e-02 1.122062590771889107e-01
4.313603943917194705e-01 2.468587281432851194e-02 1.475518747542283182e-01
6.887269010125277591e-01 3.844040257845718345e-02 1.923750647348623499e-01
1.084768577952598623e+00 5.873892647883623142e-02 2.485959399118714275e-01
1.665132580562171283e+00 8.792571431686871386e-02 3.181868496127841506e-01
2.473080972276336276e+00 1.286760711360318554e-01 4.030746920871289274e-01
3.521817310447544536e+00 1.837361077736757164e-01 5.050244636283857114e-01
4.875992800543729189e+00 2.554689099810734110e-01 6.255371469450918820e-01
5.735344318132041153e+00 3.451304266854616776e-01 7.657156701497772611e-01
6.460054066299551145e+00 4.518500923509006784e-01 9.260393039358711942e-01
6.786845466072218613e+00 5.715867902370936893e-01 1.106064675458625413e+00
6.501572186694807520e+00 6.964175867221641392e-01 1.304397038448241064e+00
5.670945653828057154e+00 8.142779855793180754e-01 1.518427309668315184e+00
4.501189032717546112e+00 9.093224507770225618e-01 1.743274265319446181e+00
3.256451052660961132e+00 9.649583204732634645e-01 1.970826115117888744e+00
2.166902957787749884e+00 9.708934264853698037e-01 2.190597676663395887e+00
1.345568275120606172e+00 9.269470173744899233e-01 2.393006329937915400e+00
7.950071362042525625e-01 8.368171485831674694e-01 2.568747881097623864e+00
4.576893979288910730e-01 7.116381596557792566e-01 2.702277600059971085e+00
2.619890642166891603e-01 5.690783088001967194e-01 2.777462491436860414e+00
1.499491314605135295e-01 4.278914966981097745e-01 2.780964502294666740e+00
8.525150045391095832e-02 3.037246205617066264e-01 2.705226946384477582e+00
4.748366222487908350e-02 2.048893934302147835e-01 2.548848326038071210e+00
2.547812100935931828e-02 1.324840510230747281e-01 2.317811419084538027e+00
1.294152294396186224e-02 8.283828942050740218e-02 2.028330674740321360e+00
6.046590400947948578e-03 5.055642811162859573e-02 1.706793621511224712e+00
2.476716059061346859e-03 3.064536095280807546e-02 1.383074024987919648e+00
8.979962866246927024e-04 1.894897452152272121e-02 1.045447222610815574e+00
2.905558002829626324e-04 1.184508268069119769e-02 8.059194773296843861e-01
8.147624201218698725e-05 7.386473074481070787e-03 6.060503054688761715e-01
1.940974490652273274e-05 4.542849435261023250e-03 4.521299907615007330e-01
3.847979828231329285e-06 2.769973873205142101e-03 3.511247037606882726e-01
6.232243047251282702e-07 1.756644662791207031e-03 0.000000000000000000e+00
8.135546767971924673e-08 1.225405563284071237e-03 0.000000000000000000e+00
9.087260928816215741e-09 7.877611189928731671e-04 0.000000000000000000e+00
5.803923855956016714e-06 4.392469397007089178e-04 0.000000000000000000e+00
