# t = -029 ms, neutrino energy spectrum for the wh07.15.40g.shen model
# nu_e                   anti-nu_e              nux
1.793704445251270360e-02 1.428656855864336199e-06 2.542749802616526238e-05
2.860852802290777402e-02 2.266594116730293038e-06 3.097978592899911605e-05
4.393194817406841091e-02 3.453114846194072068e-06 3.611763980640493869e-05
6.651641875244466984e-02 5.113337027930949754e-06 4.085420990007308372e-05
9.819702762577317556e-02 7.371198905661981224e-06 4.496731449654546277e-05
1.425309611145017530e-01 1.032026740375776639e-05 4.806184187926983538e-05
1.988665240973755688e-01 1.398938152032991524e-05 4.951211172989485000e-05
2.640116286941779356e-01 1.833628566308094699e-05 4.919419270681696529e-05
3.327750946702144330e-01 2.319129397885505875e-05 4.714213138537390438e-05
3.790960022214257541e-01 2.818359961496620065e-05 4.340862962663098561e-05
3.940004205493903289e-01 3.270893066129301800e-05 3.813235493672645376e-05
3.754855141842473598e-01 3.606315235873140863e-05 3.168662055545916567e-05
2.387654201465694292e-01 3.772461733090615458e-05 2.495319484517643109e-05
7.511601117774942271e-02 3.728639858986611152e-05 1.857745378163687514e-05
3.694811326052276079e-02 3.456640881635194700e-05 1.298150180801163900e-05
3.637487527400409815e-02 2.976115473551402914e-05 8.446555871317632547e-06
1.259361438455432192e-02 2.370588733721237871e-05 5.105529018683053817e-06
4.248927288446099036e-03 1.742639827733616888e-05 2.857433590291104932e-06
1.357377551055699875e-03 1.176655418465453535e-05 1.473777537868537967e-06
4.032975846177117691e-04 7.238757023206497001e-06 6.969534417030714846e-07
1.094948473585852819e-04 4.020346615556169960e-06 3.009005790101392859e-07
2.679624796077509073e-05 2.020192763912745185e-06 1.186742727545643209e-07
5.808650045838852218e-06 9.205199266218990904e-07 4.285312815956204936e-08
1.077344252218856005e-06 3.814213369547142466e-07 1.420340534010564357e-08
1.573111986341925747e-07 1.439899504233318319e-07 4.325228303335690027e-09
1.428036036169920852e-08 4.978656787046842192e-08 1.205978821837223895e-09
3.292458278436026570e-10 1.582137178747321577e-08 3.041455434702708902e-10
3.391982218255136651e-15 4.618576704453463254e-09 6.723856108071224680e-11
2.053304296886103929e-16 1.235217309320194033e-09 1.205089317185770804e-11
1.243997774021005719e-17 3.000803594224108108e-10 1.411157972576489102e-12
8.494490102610545308e-19 6.444705053552280088e-11 4.971717347923701945e-14
5.767450494386155748e-20 1.141154600337199196e-11 7.469397201321996333e-19
3.519474937763479964e-21 1.374275687616130030e-12 6.899815776223233304e-20
1.950893139623175506e-22 5.666276355198530840e-14 5.403091723100269600e-21
1.006925495709921922e-23 2.556190457832097766e-18 4.322274965552110022e-22
4.942153977242648970e-25 2.765867201598876264e-19 3.556711152324500108e-23
2.268815492164173141e-26 2.688319492193300487e-20 0.000000000000000000e+00
9.563830384799438498e-28 2.278602990963466613e-21 0.000000000000000000e+00
3.629575248062640475e-29 1.701640697655215994e-22 0.000000000000000000e+00
3.476942654978049654e-09 2.348952426846471933e-07 0.000000000000000000e+00
