# t = 025 ms, neutrino energy spectrum for the wh07.15.40g model
# nu_e                   anti-nu_e                nux
3.372051759846281249e-02 2.490650170757984644e-03 3.412583999684347391e-02
5.682892840380635718e-02 4.257814050686720836e-03 4.808640588987559555e-02
9.401547846754196303e-02 7.112221001150591942e-03 6.583887206056435182e-02
1.542081316714471462e-01 1.167592452052032895e-02 8.860062224565762312e-02
2.512638470662137413e-01 1.887153094580986887e-02 1.179087231249402040e-01
4.044060052368185221e-01 3.003095552981760452e-02 1.554742805981148557e-01
6.410578571234835099e-01 4.701655697061049577e-02 2.031576426729208573e-01
9.990563123907950649e-01 7.232630461509942377e-02 2.629664499829243995e-01
1.512402224580230214e+00 1.091524296505042568e-01 3.368891472737178261e-01
2.208215833983003140e+00 1.613398652214720619e-01 4.267885480073269067e-01
3.063992933525067741e+00 2.331559913707382248e-01 5.342410768341074867e-01
3.989274604923950029e+00 3.288089011242378845e-01 6.604170246362983665e-01
4.830154756497663904e+00 4.515468790970239010e-01 8.059069510003405989e-01
5.628190789798554583e+00 6.022047607119956902e-01 9.703942535065622765e-01
5.479112515712905029e+00 7.774806498149855472e-01 1.152756122063025801e+00
4.997587929917451710e+00 9.684642485736787432e-01 1.350633440104259675e+00
4.182482800103104914e+00 1.159735130268936265e+00 1.559926311825538203e+00
3.182394672028238336e+00 1.329011667905233063e+00 1.773584723657821050e+00
2.206588452602098016e+00 1.449190662112215033e+00 1.981597405057244687e+00
1.409006486919727186e+00 1.495956334326947301e+00 2.174826176200546968e+00
8.415200609422347489e-01 1.458950899108153232e+00 2.346737908386518079e+00
4.806074421891438631e-01 1.344142919626801991e+00 2.484961847597923601e+00
2.701413216936132677e-01 1.164065442914452797e+00 2.575884011810467555e+00
1.525893255720315589e-01 9.456248595517702249e-01 2.606670125827637019e+00
8.512871974321502277e-02 7.204622700595966212e-01 2.567871135736322419e+00
4.708180463639815433e-02 5.166793191310574684e-01 2.454789939046276626e+00
2.616072288061381534e-02 3.511178065560904282e-01 2.268247977439270091e+00
1.408916675543555111e-02 2.280705766794172973e-01 2.019533700839331480e+00
7.182119723480283324e-03 1.428941086201557797e-01 1.727729705398186821e+00
3.353030433449881356e-03 8.714938262233454247e-02 1.418606911703222506e+00
1.378306711504647883e-03 5.257988148264060302e-02 1.120140060407433635e+00
4.874292385098237599e-04 3.226905292401815312e-02 8.248281695470597308e-01
1.549870337678753624e-04 2.008666310891488865e-02 6.190941003600383130e-01
4.308939371604534165e-05 1.253798346812235419e-02 4.523482012779966310e-01
1.024768716520887671e-05 7.766411415046995878e-03 3.265721763707221670e-01
2.043674007125439080e-06 4.771620145225048855e-03 2.432529752399119616e-01
3.358554125519643327e-07 3.029163301722708097e-03 0.000000000000000000e+00
4.499230007173302313e-08 2.114330671293638067e-03 0.000000000000000000e+00
5.251384565407615667e-09 1.389533490711374834e-03 0.000000000000000000e+00
6.887331367272518525e-06 4.487558748698079552e-04 0.000000000000000000e+00
